"colecao","id","nome","arquivo","status","origem","url"
"EB01","EB01-001","Kouzuki Oden","EB01-001 - Kouzuki Oden.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?260731"
"EB01","EB01-021","Hannyabal","EB01-021 - Hannyabal.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?260731"
"EB01","EB01-040","Kyros","EB01-040 - Kyros.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040.png?260731"
"EB02","EB02-010","Monkey.D.Luffy","EB02-010 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/EB02-010.png?260731"
"EB03","EB03-001","Nefeltari Vivi","EB03-001 - Nefeltari Vivi.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/EB03-001.png?260731"
"OP01","OP01-001","Roronoa Zoro","OP01-001 - Roronoa Zoro.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png?260731"
"OP01","OP01-002","Trafalgar Law","OP01-002 - Trafalgar Law.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-002.png?260731"
"OP01","OP01-003","Monkey.D.Luffy","OP01-003 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-003.png?260731"
"OP01","OP01-031","Kouzuki Oden","OP01-031 - Kouzuki Oden.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-031.png?260731"
"OP01","OP01-060","Donquixote Doflamingo","OP01-060 - Donquixote Doflamingo.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-060.png?260731"
"OP01","OP01-061","Kaido","OP01-061 - Kaido.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-061.png?260731"
"OP01","OP01-062","Crocodile","OP01-062 - Crocodile.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-062.png?260731"
"OP01","OP01-091","King","OP01-091 - King.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP01-091.png?260731"
"OP02","OP02-001","Edward.Newgate","OP02-001 - Edward.Newgate.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-001.png?260731"
"OP02","OP02-002","Monkey.D.Garp","OP02-002 - Monkey.D.Garp.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-002.png?260731"
"OP02","OP02-025","Kin'emon","OP02-025 - Kin'emon.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-025.png?260731"
"OP02","OP02-026","Sanji","OP02-026 - Sanji.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-026.png?260731"
"OP02","OP02-049","Emporio.Ivankov","OP02-049 - Emporio.Ivankov.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-049.png?260731"
"OP02","OP02-071","Magellan","OP02-071 - Magellan.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-071.png?260731"
"OP02","OP02-072","Zephyr","OP02-072 - Zephyr.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-072.png?260731"
"OP02","OP02-093","Smoker","OP02-093 - Smoker.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP02-093.png?260731"
"OP03","OP03-001","Portgas.D.Ace","OP03-001 - Portgas.D.Ace.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-001.png?260731"
"OP03","OP03-021","Kuro","OP03-021 - Kuro.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-021.png?260731"
"OP03","OP03-022","Arlong","OP03-022 - Arlong.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-022.png?260731"
"OP03","OP03-040","Nami","OP03-040 - Nami.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-040.png?260731"
"OP03","OP03-058","Iceburg","OP03-058 - Iceburg.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-058.png?260731"
"OP03","OP03-076","Rob Lucci","OP03-076 - Rob Lucci.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-076.png?260731"
"OP03","OP03-077","Charlotte Linlin","OP03-077 - Charlotte Linlin.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-077.png?260731"
"OP03","OP03-099","Charlotte Katakuri","OP03-099 - Charlotte Katakuri.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP03-099.png?260731"
"OP04","OP04-001","Nefeltari Vivi","OP04-001 - Nefeltari Vivi.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-001.png?260731"
"OP04","OP04-019","Donquixote Doflamingo","OP04-019 - Donquixote Doflamingo.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-019.png?260731"
"OP04","OP04-020","Issho","OP04-020 - Issho.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-020.png?260731"
"OP04","OP04-039","Rebecca","OP04-039 - Rebecca.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-039.png?260731"
"OP04","OP04-040","Queen","OP04-040 - Queen.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-040.png?260731"
"OP04","OP04-058","Crocodile","OP04-058 - Crocodile.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP04-058.png?260731"
"OP05","OP05-001","Sabo","OP05-001 - Sabo.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-001.png?260731"
"OP05","OP05-002","Belo Betty","OP05-002 - Belo Betty.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-002.png?260731"
"OP05","OP05-022","Donquixote Rosinante","OP05-022 - Donquixote Rosinante.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-022.png?260731"
"OP05","OP05-041","Sakazuki","OP05-041 - Sakazuki.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-041.png?260731"
"OP05","OP05-060","Monkey.D.Luffy","OP05-060 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-060.png?260731"
"OP05","OP05-098","Enel","OP05-098 - Enel.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP05-098.png?260731"
"OP06","OP06-001","Uta","OP06-001 - Uta.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-001.png?260731"
"OP06","OP06-020","Hody Jones","OP06-020 - Hody Jones.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-020.png?260731"
"OP06","OP06-021","Perona","OP06-021 - Perona.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-021.png?260731"
"OP06","OP06-022","Yamato","OP06-022 - Yamato.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-022.png?260731"
"OP06","OP06-042","Vinsmoke Reiju","OP06-042 - Vinsmoke Reiju.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-042.png?260731"
"OP06","OP06-080","Gecko Moria","OP06-080 - Gecko Moria.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP06-080.png?260731"
"OP07","OP07-001","Monkey.D.Dragon","OP07-001 - Monkey.D.Dragon.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-001.png?260731"
"OP07","OP07-019","Jewelry Bonney","OP07-019 - Jewelry Bonney.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-019.png?260731"
"OP07","OP07-038","Boa Hancock","OP07-038 - Boa Hancock.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-038.png?260731"
"OP07","OP07-059","Foxy","OP07-059 - Foxy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-059.png?260731"
"OP07","OP07-079","Rob Lucci","OP07-079 - Rob Lucci.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-079.png?260731"
"OP07","OP07-097","Vegapunk","OP07-097 - Vegapunk.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP07-097.png?260731"
"OP08","OP08-001","Tony Tony.Chopper","OP08-001 - Tony Tony.Chopper.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-001.png?260731"
"OP08","OP08-002","Marco","OP08-002 - Marco.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-002.png?260731"
"OP08","OP08-021","Carrot","OP08-021 - Carrot.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-021.png?260731"
"OP08","OP08-057","King","OP08-057 - King.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-057.png?260731"
"OP08","OP08-058","Charlotte Pudding","OP08-058 - Charlotte Pudding.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-058.png?260731"
"OP08","OP08-098","Kalgara","OP08-098 - Kalgara.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP08-098.png?260731"
"OP09","OP09-001","Shanks","OP09-001 - Shanks.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-001.png?260731"
"OP09","OP09-022","Lim","OP09-022 - Lim.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-022.png?260731"
"OP09","OP09-042","Buggy","OP09-042 - Buggy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-042.png?260731"
"OP09","OP09-061","Monkey.D.Luffy","OP09-061 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-061.png?260731"
"OP09","OP09-062","Nico Robin","OP09-062 - Nico Robin.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-062.png?260731"
"OP09","OP09-081","Marshall.D.Teach","OP09-081 - Marshall.D.Teach.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP09-081.png?260731"
"OP10","OP10-001","Smoker","OP10-001 - Smoker.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-001.png?260731"
"OP10","OP10-002","Caesar Clown","OP10-002 - Caesar Clown.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-002.png?260731"
"OP10","OP10-003","Sugar","OP10-003 - Sugar.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-003.png?260731"
"OP10","OP10-022","Trafalgar Law","OP10-022 - Trafalgar Law.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-022.png?260731"
"OP10","OP10-042","Usopp","OP10-042 - Usopp.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-042.png?260731"
"OP10","OP10-099","Eustass""Captain""Kid","OP10-099 - Eustass_Captain_Kid.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP10-099.png?260731"
"OP11","OP11-001","Koby","OP11-001 - Koby.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-001.png?260731"
"OP11","OP11-021","Jinbe","OP11-021 - Jinbe.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-021.png?260731"
"OP11","OP11-022","Shirahoshi","OP11-022 - Shirahoshi.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-022.png?260731"
"OP11","OP11-040","Monkey.D.Luffy","OP11-040 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-040.png?260731"
"OP11","OP11-041","Nami","OP11-041 - Nami.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-041.png?260731"
"OP11","OP11-062","Charlotte Katakuri","OP11-062 - Charlotte Katakuri.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP11-062.png?260731"
"OP12","OP12-001","Silvers Rayleigh","OP12-001 - Silvers Rayleigh.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-001.png?260731"
"OP12","OP12-020","Roronoa Zoro","OP12-020 - Roronoa Zoro.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-020.png?260731"
"OP12","OP12-040","Kuzan","OP12-040 - Kuzan.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-040.png?260731"
"OP12","OP12-041","Sanji","OP12-041 - Sanji.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-041.png?260731"
"OP12","OP12-061","Donquixote Rosinante","OP12-061 - Donquixote Rosinante.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-061.png?260731"
"OP12","OP12-081","Koala","OP12-081 - Koala.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP12-081.png?260731"
"OP13","OP13-001","Monkey.D.Luffy","OP13-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-001.png?260731"
"OP13","OP13-002","Portgas.D.Ace","OP13-002 - Portgas.D.Ace.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-002.png?260731"
"OP13","OP13-003","Gol.D.Roger","OP13-003 - Gol.D.Roger.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-003.png?260731"
"OP13","OP13-004","Sabo","OP13-004 - Sabo.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-004.png?260731"
"OP13","OP13-079","Imu","OP13-079 - Imu.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-079.png?260731"
"OP13","OP13-100","Jewelry Bonney","OP13-100 - Jewelry Bonney.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP13-100.png?260731"
"OP16","OP16-001","Portgas.D.Ace","OP16-001 - Portgas.D.Ace.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-001.png?260731"
"OP16","OP16-022","Monkey.D.Luffy","OP16-022 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-022.png?260731"
